Sector,Orbit,Orbit_Start,Orbit_End,Camera,Cam_RA,Cam_Dec,Cam_Roll,ID
26.0,60.0,59022.614583333336,59034.64236111111,2,270.33,49.56,90.44,60.0_2
26.0,60.0,59022.614583333336,59034.64236111111,3,269.69,73.56,271.02,60.0_3
26.0,60.0,59022.614583333336,59034.64236111111,4,92.83,82.43,87.82,60.0_4
27.0,61.0,59035.77777777778,59047.635416666664,1,301.60,-38.68,282.66,61.0_1
27.0,61.0,59035.77777777778,59047.635416666664,2,312.45,-61.74,291.17,61.0_2
27.0,61.0,59035.77777777778,59047.635416666664,3,8.60,-79.81,165.21,61.0_3
27.0,61.0,59035.77777777778,59047.635416666664,4,90.01,-66.56,244.53,61.0_4
27.0,62.0,59048.65277777778,59060.149305555555,1,301.60,-38.68,282.66,62.0_1
27.0,62.0,59048.65277777778,59060.149305555555,2,312.45,-61.74,291.17,62.0_2
27.0,62.0,59048.65277777778,59060.149305555555,3,8.60,-79.81,165.21,62.0_3
27.0,62.0,59048.65277777778,59060.149305555555,4,90.01,-66.56,244.53,62.0_4
28.0,63.0,59061.350694444445,59073.46875,1,329.49,-31.62,291.12,63.0_1
28.0,63.0,59061.350694444445,59073.46875,2,343.69,-53.32,300.91,63.0_2
28.0,63.0,59061.350694444445,59073.46875,3,21.86,-70.24,155.17,63.0_3
28.0,63.0,59061.350694444445,59073.46875,4,90.00,-66.56,219.52,63.0_4
28.0,64.0,59074.65625,59086.604166666664,1,329.49,-31.62,291.12,64.0_1
28.0,64.0,59074.65625,59086.604166666664,2,343.69,-53.32,300.91,64.0_2
28.0,64.0,59074.65625,59086.604166666664,3,21.86,-70.24,155.17,64.0_3
28.0,64.0,59074.65625,59086.604166666664,4,90.00,-66.56,219.52,64.0_4
29.0,65.0,59087.739583333336,59100.881944444445,1,355.01,-21.83,294.62,65.0_1
29.0,65.0,59087.739583333336,59100.881944444445,2,8.42,-43.07,301.96,65.0_2
29.0,65.0,59087.739583333336,59100.881944444445,3,34.93,-61.16,143.29,65.0_3
29.0,65.0,59087.739583333336,59100.881944444445,4,90.00,-66.57,193.50,65.0_4
29.0,66.0,59101.82638888889,59113.94097222222,1,355.01,-21.83,294.62,66.0_1
29.0,66.0,59101.82638888889,59113.94097222222,2,8.42,-43.07,301.96,66.0_2
29.0,66.0,59101.82638888889,59113.94097222222,3,34.93,-61.16,143.29,66.0_3
29.0,66.0,59101.82638888889,59113.94097222222,4,90.00,-66.57,193.50,66.0_4
30.0,67.0,59115.385416666664,59128.645833333336,1,19.83,-11.10,293.17,67.0_1
30.0,67.0,59115.385416666664,59128.645833333336,2,30.81,-32.88,297.36,67.0_2
30.0,67.0,59115.385416666664,59128.645833333336,3,48.93,-53.06,129.97,67.0_3
